Data,Pearson Correlation,Pearson p-value,Spearman Correlation,Spearman p-value
Raw,0.7523938385714164,3.3422327323379527e-20,0.7974754961135694,4.080069373495686e-24
Differenced,0.45150464848602123,1.694123581119572e-06,0.415389392156738,1.2821547786542673e-05
