Date,lower,upper
2019-01-07,2438.7880061305614,10965.646149738532
2019-01-14,5085.842038128768,14595.34068505869
2019-01-21,6431.130713785592,16189.196781886207
2019-01-28,7079.917537695774,16916.691308260015
2019-02-04,7385.961993520565,17255.103148998824
2019-02-11,7528.005628811939,17414.832053235627
2019-02-18,7592.494989754856,17491.650436664015
2019-02-25,7620.504234875414,17529.809831839637
2019-03-04,7631.396608570474,17549.90152754661
2019-03-11,7634.267630481263,17561.539078766735
2019-03-18,7633.3826458216345,17569.217835140586
2019-03-25,7630.740337290685,17575.04138924879
2019-04-01,7627.276919182694,17579.994454617314
2019-04-08,7623.43085229716,17584.538062421
2019-04-15,7619.407463913373,17588.888080702607
2019-04-22,7615.302900922031,17593.145591123088
2019-04-29,7611.162181972477,17597.357929101505
2019-05-06,7607.006383416125,17601.54726392142
2019-05-13,7602.84537006555,17605.723980933326
2019-05-20,7598.6837567087005,17609.892947672844
2019-05-27,7594.523699722383,17614.056447947667
2019-06-03,7590.366204303122,17618.215555718183
2019-06-10,7586.211736603898,17622.37077841559
2019-06-17,7582.060510378999,17626.522358175273
2019-06-24,7577.912621210883,17630.670412889278
2019-07-01,7573.768109364369,17634.815002254163
2019-07-08,7569.626989219211,17638.95615869801
2019-07-15,7565.489263052347,17643.093901862063
2019-07-22,7561.354927491603,17647.228245381895
2019-07-29,7557.2239765376535,17651.35920006276
2019-08-05,7553.096402979005,17655.486775366575
2019-08-12,7548.972199054489,17659.61098010828
2019-08-19,7544.85135676339,17663.731822782036
2019-08-26,7540.733868010553,17667.849311714053
2019-09-02,7536.6197246742495,17671.96345513426
2019-09-09,7532.508918637843,17676.074261209957
2019-09-16,7528.401441804525,17680.18173806167
2019-09-23,7524.297286104116,17684.285893770695
2019-09-30,7520.196443496147,17688.386736382698
2019-10-07,7516.098905971215,17692.48427390952
2019-10-14,7512.004665551511,17696.578514330107
2019-10-21,7507.91371429098,17700.669465591054
2019-10-28,7503.826044275296,17704.75713560693
2019-11-04,7499.741647621756,17708.84153226056
2019-11-11,7495.660516479139,17712.92266340322
2019-11-18,7491.582643027545,17717.000536854834
2019-11-25,7487.5080194782295,17721.075160404158
2019-12-02,7483.436638073428,17725.146541808965
2019-12-09,7479.3684910861975,17729.2146887962
2019-12-16,7475.303570820229,17733.279609062167
2019-12-23,7471.241869609692,17737.341310272706
2019-12-30,7467.183379819062,17741.399800063336
