Test,ADF_Statistic,ADF_p-value,KPSS_Statistic,KPSS_p-value,Stationary_ADF,Stationary_KPSS
Original,-3.7556817998461787,0.0033947252827749514,2.232611335225332,0.01,True,False
First Difference,-9.037853150438872,5.230017987341731e-15,0.03318532040528512,0.1,True,True
Seasonal Difference (m=52),-3.7770636930601764,0.0031508966399475266,1.2320985302558405,0.01,True,False
Residuals,-7.301816513419052,1.3325177016609001e-10,0.01676230201064481,0.1,True,True
