Date,Forecast
2020-01-06,38.54554462432861
2020-01-13,31.56134933233261
2020-01-20,41.40805906057358
2020-01-27,62.89499348402023
2020-02-03,82.93142747879028
2020-02-10,91.74036186933516
2020-02-17,88.55264115333557
2020-02-24,77.72305560112
2020-03-02,64.31037074327469
2020-03-09,51.45246857404709
2020-03-16,42.25718992948532
2020-03-23,39.245106279850006
2020-03-30,44.75914150476456
2020-04-06,58.816355884075165
2020-04-13,73.21729564666748
2020-04-20,80.60133063793182
2020-04-27,78.59292298555374
2020-05-04,69.01110646128654
2020-05-11,55.617044150829315
2020-05-18,42.14634054899216
2020-05-25,30.609156548976898
2020-06-01,28.0
2020-06-08,28.0
2020-06-15,28.0
2020-06-22,28.0
2020-06-29,28.0
2020-07-06,35.30295091867447
2020-07-13,39.266516506671906
2020-07-20,38.20423823595047
2020-07-27,33.839278638362885
2020-08-03,28.244960367679596
2020-08-10,28.0
2020-08-17,28.0
2020-08-24,28.0
2020-08-31,28.0
2020-09-07,28.0
2020-09-14,28.0
2020-09-21,28.0
2020-09-28,30.944940626621246
2020-10-05,37.98854452371597
2020-10-12,39.75988006591797
2020-10-19,37.21734136343002
2020-10-26,32.10981398820877
2020-11-02,28.0
2020-11-09,28.0
2020-11-16,28.0
2020-11-23,28.0
2020-11-30,28.0
2020-12-07,30.053731977939606
2020-12-14,49.516911923885345
2020-12-21,69.56016260385513
2020-12-28,84.6733478307724
2021-01-04,91.99985742568968
2021-01-11,91.33576905727385
2021-01-18,84.16011774539948
2021-01-25,73.07228857278824
2021-02-01,60.926202178001404
2021-02-08,50.07193332910538
2021-02-15,42.95836955308914
2021-02-22,43.03909820318222
2021-03-01,53.20594811439514
2021-03-08,71.48789465427399
2021-03-15,90.10085093975066
2021-03-22,101.36486357450484
2021-03-29,102.34350085258482
2021-04-05,93.76419591903685
2021-04-12,78.55292469263077
2021-04-19,61.05653613805771
2021-04-26,44.866924703121185
2021-05-03,31.589910447597504
2021-05-10,28.0
2021-05-17,28.0
2021-05-24,28.0
2021-05-31,33.62943083047867
2021-06-07,43.22178536653519
2021-06-14,47.403134763240814
2021-06-21,45.44470375776291
2021-06-28,39.5033021569252
2021-07-05,32.28475612401962
2021-07-12,28.0
2021-07-19,28.0
2021-07-26,28.0
2021-08-02,28.0
2021-08-09,28.0
2021-08-16,28.0
2021-08-23,28.0
2021-08-30,28.83904641866684
2021-09-06,34.27600800991058
2021-09-13,34.90069222450256
2021-09-20,31.909398138523102
2021-09-27,28.0
2021-10-04,28.0
2021-10-11,28.0
2021-10-18,28.0
2021-10-25,28.0
2021-11-01,28.0
2021-11-08,28.0
2021-11-15,35.110004246234894
2021-11-22,51.820102751255035
2021-11-29,64.01913118362427
2021-12-06,69.44631069898605
2021-12-13,68.29163318872452
2021-12-20,62.292440950870514
2021-12-27,53.843066811561584
