Date,Giardiasis,chickenpox
2006-01-02,89,211
2006-01-09,107,614
2006-01-16,115,475
2006-01-23,166,813
2006-01-30,144,703
2006-02-06,131,776
2006-02-13,177,692
2006-02-20,153,452
2006-02-27,169,916
2006-03-06,220,901
2006-03-13,112,790
2006-03-20,159,755
2006-03-27,212,901
2006-04-03,187,811
2006-04-10,135,1082
2006-04-17,162,455
2006-04-24,147,777
2006-05-01,203,897
2006-05-08,134,687
2006-05-15,203,915
2006-05-22,258,875
2006-05-29,128,653
2006-06-05,175,652
2006-06-12,148,562
2006-06-19,144,506
2006-06-26,169,171
2006-07-03,136,207
2006-07-10,271,342
2006-07-17,156,106
2006-07-24,222,115
2006-07-31,212,163
2006-08-07,268,150
2006-08-14,263,557
2006-08-21,277,181
2006-08-28,283,127
2006-09-04,224,160
2006-09-11,291,262
2006-09-18,227,271
2006-09-25,325,323
2006-10-02,297,442
2006-10-09,224,441
2006-10-16,236,518
2006-10-23,237,444
2006-10-30,247,562
2006-11-06,183,469
2006-11-13,208,695
2006-11-20,138,570
2006-11-27,191,940
2006-12-04,198,850
2006-12-11,199,668
2006-12-18,165,382
2006-12-25,149,213
2007-01-01,67,203
2007-01-08,78,562
2007-01-15,71,354
2007-01-22,176,427
2007-01-29,168,500
2007-02-05,166,1052
2007-02-12,126,684
2007-02-19,144,573
2007-02-26,127,383
2007-03-05,123,775
2007-03-12,169,619
2007-03-19,116,972
2007-03-26,163,820
2007-04-02,155,557
2007-04-09,147,830
2007-04-16,152,983
2007-04-23,139,653
2007-04-30,132,659
2007-05-07,143,814
2007-05-14,170,783
2007-05-21,122,437
2007-05-28,83,560
2007-06-04,103,555
2007-06-11,128,238
2007-06-18,132,184
2007-06-25,141,137
2007-07-02,190,151
2007-07-09,150,104
2007-07-16,184,126
2007-07-23,219,149
2007-07-30,212,120
2007-08-06,220,77
2007-08-13,233,116
2007-08-20,245,148
2007-08-27,270,186
2007-09-03,247,137
2007-09-10,305,365
2007-09-17,267,240
2007-09-24,290,205
2007-10-01,230,386
2007-10-08,301,374
2007-10-15,222,272
2007-10-22,243,356
2007-10-29,212,333
2007-11-05,205,447
2007-11-12,338,505
2007-11-19,140,251
2007-11-26,228,621
2007-12-03,187,596
2007-12-10,164,414
2007-12-17,140,420
2007-12-24,164,160
2007-12-31,164,160
2008-01-07,70,255
2008-01-14,114,346
2008-01-21,142,363
2008-01-28,117,323
2008-02-04,166,433
2008-02-11,188,487
2008-02-18,130,464
2008-02-25,166,454
2008-03-03,181,495
2008-03-10,160,606
2008-03-17,162,698
2008-03-24,137,441
2008-03-31,157,414
2008-04-07,172,749
2008-04-14,165,525
2008-04-21,180,582
2008-04-28,136,453
2008-05-05,241,400
2008-05-12,155,601
2008-05-19,181,541
2008-05-26,146,491
2008-06-02,138,462
2008-06-09,149,598
2008-06-16,194,374
2008-06-23,192,218
2008-06-30,172,284
2008-07-07,136,138
2008-07-14,160,120
2008-07-21,259,187
2008-07-28,208,121
2008-08-04,288,126
2008-08-11,316,85
2008-08-18,253,131
2008-08-25,231,108
2008-09-01,170,120
2008-09-08,227,121
2008-09-15,384,246
2008-09-22,259,208
2008-09-29,266,268
2008-10-06,225,233
2008-10-13,186,148
2008-10-20,259,168
2008-10-27,232,328
2008-11-03,184,187
2008-11-10,252,297
2008-11-17,195,269
2008-11-24,246,383
2008-12-01,196,189
2008-12-08,184,366
2008-12-15,190,513
2008-12-22,130,348
