Date,Forecast
2017-01-09,132.53014
2017-01-16,115.844246
2017-01-23,117.56431
2017-01-30,119.05426
2017-02-06,128.84273
2017-02-13,128.23036
2017-02-20,131.0469
2017-02-27,133.87428
2017-03-06,136.67308
2017-03-13,138.28929
2017-03-20,140.33194
2017-03-27,142.16296
2017-04-03,143.7816
2017-04-10,145.19383
2017-04-17,146.55122
2017-04-24,147.76558
2017-05-01,148.85889
2017-05-08,149.84999
2017-05-15,150.75499
2017-05-22,151.57047
2017-05-29,152.30782
2017-06-05,152.97531
2017-06-12,153.57898
2017-06-19,154.12392
2017-06-26,154.61615
2017-07-03,155.06067
2017-07-10,155.46184
2017-07-17,155.82379
2017-07-24,156.15033
2017-07-31,156.4448
2017-08-07,156.7104
2017-08-14,156.94981
2017-08-21,157.16559
2017-08-28,157.36021
2017-09-04,157.53542
2017-09-11,157.69334
2017-09-18,157.83566
2017-09-25,157.96379
2017-10-02,158.07936
2017-10-09,158.1833
2017-10-16,158.27701
2017-10-23,158.36133
2017-10-30,158.43733
2017-11-06,158.50578
2017-11-13,158.5674
2017-11-20,158.6228
2017-11-27,158.6728
2017-12-04,158.71774
2017-12-11,158.75818
2017-12-18,158.79468
2017-12-25,158.82745
2018-01-01,158.85703
2018-01-08,158.88354
2018-01-15,158.90756
2018-01-22,158.92906
2018-01-29,158.94852
2018-02-05,158.96599
2018-02-12,158.98169
2018-02-19,158.99588
2018-02-26,159.00854
2018-03-05,159.02007
2018-03-12,159.03038
2018-03-19,159.03969
2018-03-26,159.04808
2018-04-02,159.05556
2018-04-09,159.06235
2018-04-16,159.06845
2018-04-23,159.07396
2018-04-30,159.07892
2018-05-07,159.08334
2018-05-14,159.08731
2018-05-21,159.0909
2018-05-28,159.09418
2018-06-04,159.09708
2018-06-11,159.09967
2018-06-18,159.10205
2018-06-25,159.10419
2018-07-02,159.1061
2018-07-09,159.10785
2018-07-16,159.10938
2018-07-23,159.11082
2018-07-30,159.11205
2018-08-06,159.11319
2018-08-13,159.11418
2018-08-20,159.1151
2018-08-27,159.11594
2018-09-03,159.1167
2018-09-10,159.11731
2018-09-17,159.118
2018-09-24,159.11853
2018-10-01,159.11899
2018-10-08,159.11945
2018-10-15,159.11975
2018-10-22,159.12021
2018-10-29,159.12051
2018-11-05,159.12074
2018-11-12,159.12105
2018-11-19,159.12128
2018-11-26,159.12143
2018-12-03,159.12166
2018-12-10,159.12189
2018-12-17,159.12204
2018-12-24,159.1222
2018-12-31,159.12227
2019-01-07,159.12242
2019-01-14,159.1225
2019-01-21,159.12257
2019-01-28,159.12265
2019-02-04,159.12273
2019-02-11,159.12282
2019-02-18,159.1229
2019-02-25,159.1229
2019-03-04,159.12297
2019-03-11,159.12305
2019-03-18,159.12305
2019-03-25,159.12305
2019-04-01,159.12312
2019-04-08,159.12312
2019-04-15,159.12312
2019-04-22,159.12312
2019-04-29,159.1232
2019-05-06,159.1232
2019-05-13,159.1232
2019-05-20,159.12328
2019-05-27,159.12328
2019-06-03,159.12328
2019-06-10,159.12328
2019-06-17,159.12328
2019-06-24,159.12328
2019-07-01,159.12328
2019-07-08,159.12328
2019-07-15,159.12335
2019-07-22,159.12335
2019-07-29,159.12335
2019-08-05,159.12335
2019-08-12,159.12335
2019-08-19,159.12335
2019-08-26,159.12335
2019-09-02,159.12335
2019-09-09,159.12335
2019-09-16,159.12335
2019-09-23,159.12335
2019-09-30,159.12335
2019-10-07,159.12335
2019-10-14,159.12335
2019-10-21,159.12335
2019-10-28,159.12335
2019-11-04,159.12335
2019-11-11,159.12335
2019-11-18,159.12335
2019-11-25,159.12335
2019-12-02,159.12335
2019-12-09,159.12335
2019-12-16,159.12335
2019-12-23,159.12335
2019-12-30,159.12335
2020-01-06,159.12335
2020-01-13,159.12335
2020-01-20,159.12335
2020-01-27,159.12335
2020-02-03,159.12335
2020-02-10,159.12335
2020-02-17,159.12335
2020-02-24,159.12335
2020-03-02,159.12335
2020-03-09,159.12335
2020-03-16,159.12335
2020-03-23,159.12335
2020-03-30,159.12335
2020-04-06,159.12335
2020-04-13,159.12335
2020-04-20,159.12335
2020-04-27,159.12335
2020-05-04,159.12335
2020-05-11,159.12335
2020-05-18,159.12335
2020-05-25,159.12335
2020-06-01,159.12335
2020-06-08,159.12335
2020-06-15,159.12335
2020-06-22,159.12335
2020-06-29,159.12335
2020-07-06,159.12335
2020-07-13,159.12335
2020-07-20,159.12335
2020-07-27,159.12335
2020-08-03,159.12335
2020-08-10,159.12335
2020-08-17,159.12335
2020-08-24,159.12335
2020-08-31,159.12335
2020-09-07,159.12335
2020-09-14,159.12335
2020-09-21,159.12335
2020-09-28,159.12335
2020-10-05,159.12335
2020-10-12,159.12335
2020-10-19,159.12335
2020-10-26,159.12335
2020-11-02,159.12335
2020-11-09,159.12335
2020-11-16,159.12335
2020-11-23,159.12335
2020-11-30,159.12335
2020-12-07,159.12335
2020-12-14,159.12335
2020-12-21,159.12335
2020-12-28,159.12335
2021-01-04,159.12335
2021-01-11,159.12335
2021-01-18,159.12335
2021-01-25,159.12335
2021-02-01,159.12335
2021-02-08,159.12335
2021-02-15,159.12335
2021-02-22,159.12335
2021-03-01,159.12335
2021-03-08,159.12335
2021-03-15,159.12335
2021-03-22,159.12335
2021-03-29,159.12335
2021-04-05,159.12335
2021-04-12,159.12335
2021-04-19,159.12335
2021-04-26,159.12335
2021-05-03,159.12335
2021-05-10,159.12335
2021-05-17,159.12335
2021-05-24,159.12335
2021-05-31,159.12335
2021-06-07,159.12335
