,Giardiasis
2020-08-10,251.57751369476318
2020-08-17,253.0991039276123
2020-08-24,247.5436487197876
2020-08-31,241.11973190307617
2020-09-07,235.06785225868225
2020-09-14,239.68736863136292
2020-09-21,230.5930299758911
2020-09-28,217.9701840877533
2020-10-05,207.02843356132507
2020-10-12,198.97857022285461
2020-10-19,188.37259316444397
2020-10-26,178.45991277694702
2020-11-02,170.6436734199524
2020-11-09,158.6260643005371
2020-11-16,151.3230550289154
2020-11-23,146.42275488376617
2020-11-30,142.67289900779724
2020-12-07,139.64792466163635
2020-12-14,128.73893666267395
2020-12-21,124.76698946952818
2020-12-28,122.57008588314055
