,RMSE,MAE,MAPE
ARIMA,44.53395048811307,34.740153754592846,40.3814480379406
SARIMA,43.22275713085702,35.932312151100376,43.76275619879692
LSTM,76.0743456306811,69.14093671700893,60.44305262572931
GRU,65.99663435641975,58.451504384860016,50.28088133087986
XGBoost,35.06202860259984,28.072729306343277,33.27280106895283
