,RMSE,MAE,MAPE
ARIMA,16.88993448163948,13.27390127945142,22.054451409664786
SARIMA,23.6457656378425,18.538275679468747,31.412745175785762
LSTM,39.02620749951078,35.07051282051282,51.89222224061456
GRU,54.78097414436082,51.967948717948715,80.93362642962846
XGBoost,22.68596167774651,17.516383342253857,32.54052667432358
