Data Type,Pearson Correlation,Pearson p-value,Spearman Correlation,Spearman p-value
Raw,0.3908194358186166,7.927352631678037e-13,0.34442628302068873,4.0606233070559543e-10
Differenced,0.2515265010832174,7.113876548718225e-06,0.18058015771462732,0.0013834902905206184
