Test,ADF_Statistic,ADF_p-value,KPSS_Statistic,KPSS_p-value,Stationary_ADF,Stationary_KPSS
Original,-4.5626115625746095,0.00015129428242689907,1.3959764855907302,0.01,True,False
First Difference,-17.751100923622392,3.369739806586941e-30,0.27092999263105827,0.1,True,True
Seasonal Difference (m=52),-3.0278804374287294,0.032371483157545594,0.2576267369461229,0.1,True,True
Residuals,-20.33908406061839,0.0,0.05232157050317755,0.1,True,True
