Date,Month,WeekOfYear,Year,Week,Chlamydia,Dengue,Giardiasis,Gonorrhea,Haemophilus,HepatitisA,HepatitisB,HepatitisC,Legionellosis,Lyme disease,Malaria,Syphilis,chickenpox
2007-05-07,5,19,2007,19,11098,0,143,3465,25,23,46,0,10,77,7,99,814
2007-05-14,5,20,2007,20,10619,0,170,2747,71,24,47,0,15,81,10,89,783
2007-05-21,5,21,2007,21,8574,0,122,2958,22,17,16,0,10,36,8,72,437
2007-05-28,5,22,2007,22,6567,0,83,1956,20,27,47,0,15,44,9,55,560
2007-06-04,6,23,2007,23,9475,0,103,2688,18,20,35,0,23,168,9,89,555
2007-06-11,6,24,2007,24,10193,0,128,3110,25,29,35,0,18,207,14,125,238
2007-06-18,6,25,2007,25,10775,0,132,3964,22,28,29,0,31,248,9,107,184
2007-06-25,6,26,2007,26,8556,0,141,2440,24,34,26,0,28,296,8,83,137
2007-07-02,7,27,2007,27,10312,0,190,3040,32,22,30,0,24,225,5,88,151
2007-07-09,7,28,2007,28,10867,0,150,3383,15,35,41,0,43,511,13,119,104
2007-07-16,7,29,2007,29,11992,0,184,4264,25,27,43,0,25,583,13,117,126
2007-07-23,7,30,2007,30,11895,0,219,3851,28,35,34,0,19,462,13,109,149
2007-07-30,7,31,2007,31,10680,0,212,3591,25,23,26,0,24,398,24,131,120
2007-08-06,8,32,2007,32,13635,0,220,4373,23,24,47,0,48,381,13,114,77
2007-08-13,8,33,2007,33,12454,0,233,4049,18,36,33,0,30,372,17,136,116
2007-08-20,8,34,2007,34,12350,0,245,4808,19,35,44,0,46,297,20,150,148
2007-08-27,8,35,2007,35,11658,0,270,3625,12,33,31,0,39,237,7,95,186
2007-09-03,9,36,2007,36,8796,0,247,2979,12,28,48,0,48,307,11,82,137
2007-09-10,9,37,2007,37,14544,0,305,4571,26,41,33,0,38,355,11,153,365
2007-09-17,9,38,2007,38,11908,0,267,4272,30,36,39,0,36,351,18,146,240
2007-09-24,9,39,2007,39,10877,0,290,3476,18,41,44,0,39,229,12,136,205
2007-10-01,10,40,2007,40,11779,0,230,3959,15,20,37,0,14,59,7,136,386
2007-10-08,10,41,2007,41,11326,0,301,3589,12,26,33,0,30,120,9,99,374
2007-10-15,10,42,2007,42,11374,0,222,3241,25,26,53,0,37,271,15,101,272
2007-10-22,10,43,2007,43,9474,0,243,3390,15,35,51,0,32,217,10,133,356
2007-10-29,10,44,2007,44,10911,0,212,3730,26,24,65,0,26,219,17,131,333
2007-11-05,11,45,2007,45,10469,0,205,3338,27,15,39,0,37,234,13,155,447
2007-11-12,11,46,2007,46,7638,0,338,2944,15,15,28,0,34,211,7,67,505
2007-11-19,11,47,2007,47,7666,0,140,2361,19,15,30,0,14,136,11,61,251
2007-11-26,11,48,2007,48,12126,0,228,4111,18,29,37,0,33,183,18,157,621
2007-12-03,12,49,2007,49,11636,0,187,3947,33,54,47,0,36,159,10,146,596
2007-12-10,12,50,2007,50,11982,0,164,3703,15,35,50,0,25,142,7,239,414
2007-12-17,12,51,2007,51,5673,0,140,1528,28,15,24,0,32,61,11,53,420
2007-12-24,12,52,2007,52,4787,0,164,1358,31,18,25,0,30,50,8,30,160
2007-12-31,12,1,2007,52,4787,0,164,1358,31,18,25,0,30,50,8,30,160
2008-01-07,1,2,2008,2,7252,0,70,2161,27,21,15,0,18,37,5,86,255
2008-01-14,1,3,2008,3,10893,0,114,3639,42,26,34,0,32,114,9,102,346
2008-01-21,1,4,2008,4,9933,0,142,2925,46,25,43,0,29,131,10,103,363
2008-01-28,1,5,2008,5,10724,0,117,2740,41,26,29,0,30,153,9,90,323
2008-02-04,2,6,2008,6,9928,0,166,2755,33,33,22,0,45,166,16,133,433
2008-02-11,2,7,2008,7,11380,0,188,3000,44,33,46,0,35,255,10,85,487
2008-02-18,2,8,2008,8,9558,0,130,2428,21,22,32,0,8,28,4,96,464
2008-02-25,2,9,2008,9,8096,0,166,2423,30,27,31,0,17,34,5,72,454
2008-03-03,3,10,2008,10,8153,0,181,3108,37,20,31,0,26,57,4,85,495
2008-03-10,3,11,2008,11,7516,0,160,2256,33,25,37,0,15,44,1,108,606
2008-03-17,3,12,2008,12,10692,0,162,2636,24,23,38,0,23,28,8,105,698
2008-03-24,3,13,2008,13,12464,0,137,3053,24,18,32,0,11,41,1,100,441
2008-03-31,3,14,2008,14,12081,0,157,3301,37,20,24,0,17,29,4,129,414
2008-04-07,4,15,2008,15,13074,0,172,3492,29,26,34,0,16,41,7,120,749
2008-04-14,4,16,2008,16,12028,0,165,3477,37,28,36,0,16,52,6,109,525
2008-04-21,4,17,2008,17,13333,0,180,3494,33,22,35,0,20,96,6,96,582
2008-04-28,4,18,2008,18,11657,0,136,2975,24,32,34,0,14,13,9,111,453
2008-05-05,5,19,2008,19,12011,0,241,3120,18,31,27,0,16,64,9,131,400
2008-05-12,5,20,2008,20,11700,0,155,3274,41,34,36,0,20,54,4,94,601
2008-05-19,5,21,2008,21,11167,0,181,2843,31,31,60,0,28,102,14,103,541
2008-05-26,5,22,2008,22,9710,0,146,2453,46,20,28,0,20,77,6,72,491
2008-06-02,6,23,2008,23,9303,0,138,2580,20,21,32,0,33,75,8,75,462
2008-06-09,6,24,2008,24,12919,0,149,3509,30,21,36,0,33,83,14,78,598
2008-06-16,6,25,2008,25,12429,0,194,3413,31,15,39,0,22,190,12,145,374
2008-06-23,6,26,2008,26,12583,0,192,3494,35,34,40,0,56,312,10,123,218
2008-06-30,6,27,2008,27,11074,0,172,3236,20,33,29,0,38,284,15,112,284
2008-07-07,7,28,2008,28,9129,0,136,2743,21,26,12,0,28,255,14,70,138
2008-07-14,7,29,2008,29,11177,0,160,3406,36,47,38,0,54,447,27,111,120
2008-07-21,7,30,2008,30,9695,0,259,2978,17,24,32,0,61,545,9,116,187
2008-07-28,7,31,2008,31,10721,0,208,3000,18,21,48,0,69,670,15,90,121
2008-08-04,8,32,2008,32,11899,0,288,3202,24,26,39,0,61,571,14,120,126
2008-08-11,8,33,2008,33,9944,0,316,2837,17,19,21,0,61,574,9,125,85
2008-08-18,8,34,2008,34,12545,0,253,3530,26,27,31,0,53,541,13,122,131
2008-08-25,8,35,2008,35,10724,0,231,3075,21,30,37,0,43,350,15,101,108
2008-09-01,9,36,2008,36,7373,0,170,2037,25,21,31,0,41,216,20,75,120
2008-09-08,9,37,2008,37,11188,0,227,2991,6,27,21,0,42,222,11,134,121
2008-09-15,9,38,2008,38,12300,0,384,3516,20,18,39,0,49,452,15,100,246
2008-09-22,9,39,2008,39,13287,0,259,3639,21,30,51,0,47,244,16,122,208
2008-09-29,9,40,2008,40,13710,0,266,3878,22,35,37,0,51,403,13,121,268
2008-10-06,10,41,2008,41,9961,0,225,2697,18,29,25,0,53,268,15,115,233
2008-10-13,10,42,2008,42,13564,0,186,3523,18,20,34,0,26,255,5,160,148
2008-10-20,10,43,2008,43,12915,0,259,3635,20,35,22,0,19,62,3,112,168
2008-10-27,10,44,2008,44,13964,0,232,3649,24,25,36,0,50,487,16,138,328
2008-11-03,11,45,2008,45,11950,0,184,2865,11,20,30,0,31,222,7,124,187
2008-11-10,11,46,2008,46,8748,0,252,1961,21,20,33,0,22,236,10,77,297
2008-11-17,11,47,2008,47,12689,0,195,2986,27,17,21,0,29,244,7,88,269
2008-11-24,11,48,2008,48,9661,0,246,1975,25,14,32,0,31,400,7,83,383
2008-12-01,12,49,2008,49,7763,0,196,1857,26,10,22,0,21,286,8,78,189
2008-12-08,12,50,2008,50,12903,0,184,3361,26,13,34,0,30,355,12,78,366
2008-12-15,12,51,2008,51,12426,0,190,3090,27,20,32,0,30,419,10,133,513
2008-12-22,12,52,2008,52,6382,0,130,1556,27,11,28,0,31,391,11,44,348
2008-12-29,12,1,2008,1,4487,0,99,1068,12,7,22,0,15,186,9,25,194
2009-01-05,1,2,2008,2,7228,0,101,1636,24,9,28,0,4,72,2,52,77
2009-01-12,1,3,2009,3,7711,0,111,1932,19,17,26,0,27,15,4,82,190
2009-01-19,1,4,2009,4,9437,0,129,2100,30,14,14,0,27,37,9,93,251
2009-01-26,1,5,2009,5,12757,0,161,2705,32,34,33,0,20,42,13,112,306
2009-02-02,2,6,2009,6,11322,0,160,2558,36,21,26,0,13,70,15,94,330
2009-02-09,2,7,2009,7,8775,0,215,1878,30,29,35,0,12,42,11,66,313
2009-02-16,2,8,2009,8,11765,0,115,2645,24,13,34,0,24,48,7,101,215
2009-02-23,2,9,2009,9,11517,0,195,2591,20,12,40,0,13,51,5,110,288
2009-03-02,3,10,2009,10,11880,0,151,2783,33,20,46,0,22,47,5,106,191
2009-03-09,3,11,2009,11,12587,0,176,2775,30,19,28,0,17,65,11,116,225
2009-03-16,3,12,2009,12,10774,0,176,2256,34,14,37,0,12,66,10,95,191
2009-03-23,3,13,2009,13,11829,0,175,2462,26,25,30,0,17,96,11,108,249
2009-03-30,3,14,2009,14,13812,0,155,2984,26,27,34,0,13,95,13,116,171
2009-04-06,4,15,2009,15,11298,0,203,2327,41,22,24,0,17,77,8,74,217
2009-04-13,4,16,2009,16,11866,0,225,2454,26,21,37,0,14,100,7,106,218
2009-04-20,4,17,2009,17,11510,0,240,3405,22,29,27,0,10,103,8,96,210
2009-04-27,4,18,2009,18,8836,0,146,1956,19,9,19,0,12,101,2,89,122
2009-05-04,5,19,2009,19,11735,0,203,2274,30,17,28,0,18,121,3,95,265
2009-05-11,5,20,2009,20,10574,0,136,2212,27,21,33,0,22,106,12,106,214
2009-05-18,5,21,2009,21,8356,0,162,1977,43,15,33,0,16,119,12,72,221
2009-05-25,5,22,2009,22,9260,0,204,1981,23,26,23,0,27,101,6,80,149
2009-06-01,6,23,2009,23,9911,0,167,2798,25,10,36,0,24,108,10,97,160
