Data,Pearson Correlation,Pearson p-value,Spearman Correlation,Spearman p-value
Raw,0.23036027857784253,3.0107865957449145e-10,0.3950172309635627,1.1281502515329222e-28
Differenced,0.20299216055885086,3.219750480290889e-08,0.253499020248423,3.744419207998138e-12
