Data,Pearson Correlation,Pearson p-value,Spearman Correlation,Spearman p-value
Raw,0.24881642096185497,4.6527811499317766e-05,0.27876424020596446,4.610674664242747e-06
Differenced,0.3660905162560216,1.0671938092489543e-09,0.29435883937068463,1.2960919293176204e-06
