Test,ADF_Statistic,ADF_p-value,KPSS_Statistic,KPSS_p-value,Stationary_ADF,Stationary_KPSS
Original,-4.5626115625746095,0.00015129428242689907,1.3959764855907302,0.01,True,False
First Difference,-17.751100923622392,3.369739806586941e-30,0.27092999263105827,0.1,True,True
Seasonal Difference (m=26),-9.360484577102488,7.847424699978771e-16,0.02675185624694958,0.1,True,True
Residuals,-20.28208302714879,0.0,0.018908806846540397,0.1,True,True
