,Date,Giardiasis
0,2017-01-02,85.83553590500024
1,2017-01-09,99.06203446473656
2,2017-01-16,122.57330509708028
3,2017-01-23,123.70442050104026
4,2017-01-30,131.77726239212913
5,2017-02-06,106.74812563569358
6,2017-02-13,122.03289770830098
7,2017-02-20,168.94548743899432
8,2017-02-27,117.3031014026906
9,2017-03-06,132.718988879258
10,2017-03-13,123.25939626803728
11,2017-03-20,121.77726239212909
12,2017-03-27,149.81437203503432
13,2017-04-03,134.95208293074242
14,2017-04-10,159.57990058882834
15,2017-04-17,132.35340202909197
16,2017-04-24,141.14944473404316
17,2017-05-01,142.79183077034688
18,2017-05-08,100.87924103965351
19,2017-05-15,134.37594329377947
20,2017-05-22,97.62360572348166
21,2017-05-29,101.33223815912613
22,2017-06-05,189.09914410764176
23,2017-06-12,126.28056013800315
24,2017-06-19,104.39051167199726
25,2017-06-26,107.42624392018088
26,2017-07-03,87.46760436933704
27,2017-07-10,110.61484587477668
28,2017-07-17,148.55628806450704
29,2017-07-24,137.511946216922
30,2017-07-31,138.82064519048592
31,2017-08-07,116.49716560106037
32,2017-08-14,136.2913662853511
33,2017-08-21,191.32092751707447
34,2017-08-28,137.42382717492907
35,2017-09-04,145.1736860116348
36,2017-09-11,147.43860779079074
37,2017-09-18,128.8206451904859
38,2017-09-25,184.36526936465947
39,2017-10-02,125.7615227270392
40,2017-10-09,153.9968832744718
41,2017-10-16,116.84964176903216
42,2017-10-23,144.58528464305328
43,2017-10-30,148.48238498519868
44,2017-11-06,98.45282375347531
45,2017-11-13,147.73252614849292
46,2017-11-20,87.98210265861013
47,2017-11-27,118.74730676435458
48,2017-12-04,228.15947004895017
49,2017-12-11,117.54094279546833
50,2017-12-18,116.39426594320574
51,2017-12-25,85.15834074259605
52,2018-01-01,87.22173747944186
53,2018-01-08,103.7069739759345
54,2018-01-15,131.95822706174198
55,2018-01-22,129.08998227059192
56,2018-01-29,134.94095738661966
57,2018-02-05,110.80056734020857
58,2018-02-12,127.56658392952339
59,2018-02-19,177.14541379029012
60,2018-02-26,124.7624054956327
61,2018-03-05,137.6601772937975
62,2018-03-12,132.05182042601604
63,2018-03-19,124.94095738661963
64,2018-03-26,162.01365858144018
65,2018-04-02,132.7832976650862
66,2018-04-09,158.59611093653805
67,2018-04-16,128.1108744400454
68,2018-04-23,143.12814411516774
69,2018-04-30,145.51115240982514
70,2018-05-07,100.93232254905845
71,2018-05-14,139.6133806116604
72,2018-05-21,95.30669600615474
73,2018-05-28,107.90279554204375
74,2018-06-04,202.779675170755
75,2018-06-11,124.25989932401774
76,2018-06-18,109.18357563486597
77,2018-06-25,100.96184955607319
78,2018-07-02,88.23694698320436
79,2018-07-09,109.19587168854802
80,2018-07-16,143.95430762359334
81,2018-07-23,135.59562730339886
82,2018-07-30,138.39636045884637
83,2018-08-06,115.47606719666737
84,2018-08-13,134.27557842636904
85,2018-08-20,187.51469863983203
86,2018-08-27,134.1149430249812
87,2018-09-03,143.55577393448837
88,2018-09-10,143.2345031317127
89,2018-09-17,128.39636045884637
90,2018-09-24,177.87337896002654
91,2018-10-01,128.91812003192038
92,2018-10-08,156.35772901568168
93,2018-10-15,121.39880431033805
94,2018-10-22,144.95675147508507
95,2018-10-29,148.35650708993592
96,2018-11-05,100.11738687647289
97,2018-11-12,145.9156761804287
98,2018-11-19,91.23816890895023
99,2018-11-26,116.03523628716017
100,2018-12-03,220.67289018972818
101,2018-12-10,120.59807115489058
102,2018-12-17,114.87582281151823
103,2018-12-24,91.19953746578558
104,2018-12-31,88.40531494524038
105,2019-01-07,106.36005605073171
106,2019-01-14,136.74877038599183
107,2019-01-21,132.07704266561612
108,2019-01-28,136.9260828209629
109,2019-02-04,113.18646675882417
110,2019-02-11,130.62043998859295
111,2019-02-18,181.40159180217677
112,2019-02-25,128.6846051872924
113,2019-03-04,140.44685069668543
114,2019-03-11,136.5751810940843
115,2019-03-18,126.92608282096288
116,2019-03-25,168.0733195225525
117,2019-04-01,132.36377919379524
118,2019-04-08,158.71095777761028
119,2019-04-15,126.75621667211894
120,2019-04-22,144.57890423714787
121,2019-04-29,147.29589085203224
122,2019-05-06,101.51473903844841
123,2019-05-13,142.5336453426392
124,2019-05-20,94.82038187081835
125,2019-05-27,111.42422124943107
126,2019-06-03,209.50729275232126
127,2019-06-10,123.90717651677213
128,2019-06-17,111.90345337370856
129,2019-06-24,98.60525682746574
130,2019-07-01,89.14235630438412
131,2019-07-08,109.11447517074978
132,2019-07-15,142.4375571581907
133,2019-07-22,135.28995673128742
134,2019-07-29,138.7635120496745
135,2019-08-05,115.57408992231966
136,2019-08-12,133.92505304339497
137,2019-08-19,186.3567866613305
138,2019-08-26,133.18130510079286
139,2019-09-02,143.38466779496483
140,2019-09-09,141.89717190976063
141,2019-09-16,128.7635120496745
142,2019-09-23,175.5043870882338
143,2019-09-30,130.90004481380342
144,2019-10-07,157.98081531066364
145,2019-10-14,124.008696444298
146,2019-10-21,145.68274155281424
147,2019-10-28,148.85822311335187
148,2019-11-04,101.42648949541635
149,2019-11-11,145.65486041917987
150,2019-11-18,93.26494850169587
151,2019-11-25,115.37072722814762
152,2019-12-02,217.85535020930902
153,2019-12-09,122.53514112591094
154,2019-12-16,114.74957148285728
155,2019-12-23,94.48225176268504
156,2019-12-30,89.49752051574552
157,2020-01-06,108.11492423411877
158,2020-01-13,139.4675114608435
159,2020-01-20,133.98251598829452
160,2020-01-27,138.3797407257673
161,2020-02-03,114.8208508307782
162,2020-02-10,132.55603433912967
163,2020-02-17,183.87936465416234
