ds,yhat_lower,yhat_upper
2019-01-07,-303.29636562593873,-50.34556918669098
2019-01-14,-312.27377042374235,-46.74504873426842
2019-01-21,-301.88335986356697,-55.889237749301046
2019-01-28,-314.1284605219131,-44.48457747483739
2019-02-04,-296.6915111189015,-40.75841327627743
2019-02-11,-308.2980337436303,-49.24439692893855
2019-02-18,-319.00877312251765,-49.33382883572557
2019-02-25,-330.29366198689445,-61.712725749326104
2019-03-04,-326.68325004282195,-69.32119920225472
2019-03-11,-320.0756285314554,-53.50135521524577
2019-03-18,-302.7427179756748,-40.15828767145004
2019-03-25,-311.31036660667246,-50.60710414675268
2019-04-01,-325.4510147460924,-59.3539598940187
2019-04-08,-322.6933475760428,-64.12327173554705
2019-04-15,-299.88833534641566,-48.55802955166428
2019-04-22,-255.47484422282415,1.695831654864391
2019-04-29,-200.50726447414775,55.08413051878419
2019-05-06,-197.05114525376086,72.66580339017858
2019-05-13,-232.84856486156397,35.42420715834502
2019-05-20,-278.7113165887201,-12.506610241918859
2019-05-27,-294.625795113295,-26.94711733489201
2019-06-03,-278.23215348138206,-6.861323347457725
2019-06-10,-232.56460505183935,30.994374042066447
2019-06-17,-183.17938743765396,83.00460396980047
2019-06-24,-134.49536985592124,117.05820287764803
2019-07-01,-97.102774190337,172.0994917261834
2019-07-08,-45.95927207511796,208.88059152105117
2019-07-15,-9.034855707271161,258.94259776030185
2019-07-22,25.52936590575999,281.6706633663335
2019-07-29,21.007213130113755,273.99502328112357
2019-08-05,-11.877559186243149,243.26697027228138
2019-08-12,-59.82962623378139,213.82799355496905
2019-08-19,-109.61648880068017,157.78407429378035
2019-08-26,-144.83965264745768,122.62256318459025
2019-09-02,-183.67669472161225,87.0088720860075
2019-09-09,-180.99145021773813,76.78889641888037
2019-09-16,-183.47875831008196,85.64089708225268
2019-09-23,-179.27617222696685,76.25133544325294
2019-09-30,-201.51135737445196,59.828458502282714
2019-10-07,-227.97079833164582,37.440270523761114
2019-10-14,-245.76932703420337,20.911323532944323
2019-10-21,-247.07359968100616,30.449848551969247
2019-10-28,-230.70958682341538,21.27273504213776
2019-11-04,-231.25725935462404,21.97417429725343
2019-11-11,-251.16748413227992,-1.9583838055835763
2019-11-18,-282.90076943219606,-16.42191910612729
2019-11-25,-278.0742786171515,-7.847009549764891
2019-12-02,-264.8376215057676,4.769858809861203
2019-12-09,-249.73017227800787,4.680902651239199
2019-12-16,-286.0605035645688,-17.395359277600242
2019-12-23,-336.8161909050382,-57.98330352503879
2019-12-30,-359.195552381173,-94.5793627438615
