Date,lower,upper
2019-01-07,0.0,0.8607364759259875
2019-01-14,0.0,1.3087614101012846
2019-01-21,0.0,1.7670092032445548
2019-01-28,0.0,2.2442732663457465
2019-02-04,0.0,2.7454071387330137
2019-02-11,0.0,3.273703823824148
2019-02-18,0.0,3.831722308937204
2019-02-25,0.0,4.42164123162984
2019-03-04,0.0,5.045432184725912
2019-03-11,0.0,5.704953310523581
2019-03-18,0.0,6.402003755804707
2019-03-25,0.0,7.138357318532387
2019-04-01,0.0,7.915784320265525
2019-04-08,0.0,8.736066473168886
2019-04-15,0.0,9.60100740361225
2019-04-22,0.0,10.51244038885426
2019-04-29,0.0,11.472234253315156
2019-05-06,0.0,12.482298019698755
2019-05-13,0.0,13.544584700422801
2019-05-20,0.0,14.661094485444629
2019-05-27,0.0,15.833877500530807
2019-06-03,0.0,17.06503625669324
2019-06-10,0.0,18.356727876077958
2019-06-17,0.0,19.711166155573878
2019-06-24,0.0,21.130623512834756
2019-07-01,0.0,22.61743284778473
2019-07-08,0.0,24.17398934440472
2019-07-15,0.0,25.80275223162987
2019-07-22,0.0,27.50624651782879
2019-07-29,0.0,29.287064710116397
2019-08-05,0.0,31.147868527347697
2019-08-12,0.0,33.091390613828466
2019-08-19,0.0,35.12043625940115
2019-08-26,0.0,37.237885130507294
2019-09-02,0.0,39.44669301601159
2019-09-09,0.0,41.74989359093761
2019-09-16,0.0,44.15060020076788
2019-09-23,0.0,46.65200766856827
2019-09-30,0.0,49.25739412688793
2019-10-07,0.0,51.97012287613762
2019-10-14,0.0,54.7936442709529
2019-10-21,0.0,57.731497635890285
2019-10-28,0.0,60.78731321167724
2019-11-04,0.0,63.96481413313455
2019-11-11,0.0,67.2678184398067
2019-11-18,0.0,70.70024112026982
2019-11-25,0.0,74.26609619103169
2019-12-02,0.0,77.96949881089661
2019-12-09,0.0,81.81466743163176
2019-12-16,0.0,85.80592598574519
2019-12-23,0.0,89.94770611216236
2019-12-30,0.0,94.24454942057336
