,MAE,RMSE
ARIMA,0.0,0.0
SARIMA,3.46e-322,0.0
Prophet,14.825774818952688,41.830279174660966
LSTM,207.78232735853928,216.51699924513008
GRU,113.76473430486826,117.38948475446954
